,Reporting starts,Reporting ends,Campaign name,Delivery,Mobile app installs,Mobile app actions,Cost per mobile app install (GBP),Cost per mobile app action (GBP),Desktop app installs,Desktop app engagement,Cost per desktop app install (GBP),Cost per desktop app engagement (GBP),Post reactions,Post comments,Post shares
0,2014-02-21,2018-01-29,Campaign1,0,11451.0,,1.2756833464326,,,,,,1807.0,42.0,133.0
1,2015-12-04,2015-12-04,Campaign2,inactive,,,,,,,,,2.0,,
2,2015-10-21,2015-10-21,Campaign3,inactive,2.0,,3.53,,,,,,2.0,,
3,2015-10-20,2015-10-20,Campaign3,inactive,2.0,,16.5,,,,,,15.0,,
4,2015-10-20,2015-10-20,Campaign4,inactive,,,,,,,,,,,
5,2015-10-19,2015-10-19,Campaign4,inactive,17.0,,0.8823529411764699,,,,,,27.0,1.0,
6,2015-10-19,2015-10-19,Campaign3,inactive,2.0,,6.6,,,,,,15.0,,
7,2015-10-18,2015-10-18,Campaign4,inactive,30.0,,1.1,,,,,,71.0,,
8,2015-10-17,2015-10-17,Campaign5,inactive,1.0,,7.57,,,,,,,,
9,2015-10-17,2015-10-17,Campaign4,inactive,26.0,,1.2692307692308,,,,,,91.0,,
10,2015-10-16,2015-10-16,Campaign4,inactive,11.0,,1.0627272727273,,,,,,17.0,,
11,2015-10-16,2015-10-16,Campaign5,inactive,15.0,,2.1946666666667,,,,,,2.0,,
12,2015-10-15,2015-10-15,Campaign5,inactive,26.0,,1.2669230769231001,,,,,,2.0,,
13,2015-10-14,2015-10-14,Campaign5,inactive,,,,,,,,,,,
14,2015-09-17,2015-09-17,Campaign6,inactive,2.0,,1.64,,,,,,1.0,,
15,2015-08-28,2015-08-28,Campaign7,inactive,,,,,,,,,,,
16,2015-08-27,2015-08-27,Campaign7,inactive,,,,,,,,,,,
17,2015-07-16,2015-07-16,Campaign8,inactive,1.0,,1.5,,,,,,,,
18,2015-07-16,2015-07-16,Campaign9,inactive,,,,,,,,,,,
19,2015-07-16,2015-07-16,Campaign10,inactive,,,,,,,,,,,
20,2015-07-16,2015-07-16,Campaign11,inactive,,,,,,,,,,,
21,2015-07-16,2015-07-16,Campaign12,inactive,1.0,,2.19,,,,,,,,
22,2015-07-16,2015-07-16,Campaign13,inactive,,,,,,,,,,,
23,2015-07-15,2015-07-15,Campaign10,inactive,,,,,,,,,,,
24,2015-07-15,2015-07-15,Campaign14,inactive,,,,,,,,,,,
25,2015-07-15,2015-07-15,Campaign11,inactive,,,,,,,,,,,
26,2015-07-15,2015-07-15,Campaign12,inactive,,,,,,,,,,,
27,2015-07-15,2015-07-15,Campaign13,inactive,,,,,,,,,,,
28,2015-07-15,2015-07-15,Campaign8,inactive,,,,,,,,,,,
29,2015-07-15,2015-07-15,Campaign9,inactive,,,,,,,,,,,
30,2015-07-14,2015-07-14,Campaign13,inactive,,,,,,,,,,,
31,2015-07-14,2015-07-14,Campaign14,inactive,,,,,,,,,,,
32,2015-07-14,2015-07-14,Campaign10,inactive,,,,,,,,,,,
33,2015-07-14,2015-07-14,Campaign9,inactive,,,,,,,,,,,
34,2015-07-14,2015-07-14,Campaign12,inactive,,,,,,,,,,,
35,2015-07-14,2015-07-14,Campaign11,inactive,,,,,,,,,,,
36,2015-07-16,2015-07-16,Campaign15,inactive,,,,,,,,,,,
37,2015-07-15,2015-07-15,Campaign15,inactive,,,,,,,,,,,
38,2015-07-14,2015-07-14,Campaign15,inactive,,,,,,,,,,,
39,2015-11-05,2015-11-05,Campaign16,inactive,,,,,,,,,2.0,,
40,2015-11-04,2015-11-04,Campaign16,inactive,15.0,,2.372,,,,,,4.0,,1.0
41,2015-11-03,2015-11-03,Campaign16,inactive,12.0,,2.75,,,,,,4.0,,
42,2015-11-02,2015-11-02,Campaign16,inactive,25.0,,1.32,,,,,,8.0,,
43,2015-11-01,2015-11-01,Campaign16,inactive,25.0,,1.32,,,,,,8.0,,
44,2015-10-31,2015-10-31,Campaign16,inactive,13.0,,2.5384615384615,,,,,,6.0,,
45,2015-09-11,2015-09-11,Campaign17,inactive,10.0,,1.864,,,,,,5.0,,1.0
46,2015-09-10,2015-09-10,Campaign17,inactive,24.0,,1.375,,,,,,7.0,,
47,2015-09-09,2015-09-09,Campaign17,inactive,16.0,,2.0625,,,,,,5.0,,1.0
48,2015-09-08,2015-09-08,Campaign17,inactive,3.0,,5.36,,,,,,3.0,,1.0
49,2015-09-08,2015-09-08,Campaign16,inactive,9.0,,1.2411111111111002,,,,,,4.0,,
