,Page,Clicks,Impressions,CTR,Position,Avg. Time on Page,Bounce Rate,Exit,Pageviews,Unique Pageviews
0,https://miratrix.co.uk/,371,100673,0.37%,42.59,0 days 00:01:43.666666666,47.29666666666666,54.28666666666667,1396,1095
1,https://miratrix.co.uk/app-marketing-agency/,80,30824,0.26%,26.84,0 days 00:01:45.333333333,64.43666666666667,60.913333333333334,210,181
2,https://miratrix.co.uk/mobile-app-competitor-analysis/,16,1458,1.1%,30.64,0 days 00:04:06.000000000,53.335,89.475,30,26
3,https://miratrix.co.uk/blippar-the-message-isnt-clear/,11,517,2.13%,36.05,0 days 00:00:22.333333333,58.169999999999995,78.33333333333333,27,21
4,https://miratrix.co.uk/author/nduddy/,10,140,7.14%,5.61,0 days 00:02:52.000000000,22.223333333333333,38.89,15,13
5,https://miratrix.co.uk/tag/whatsapp/,7,442,1.58%,74.55,0 days 00:00:00.000000000,100.0,100.0,3,3
6,https://miratrix.co.uk/tag/escort-app/,7,226,3.1%,38.91,0 days 00:00:11.000000000,83.33,85.71,7,6
7,https://miratrix.co.uk/tag/rendevu-app/,6,401,1.5%,17.84,0 days 00:00:14.000000000,66.67,66.67,9,6
8,https://miratrix.co.uk/app-store-optimization-services/,5,4177,0.12%,70.02,0 days 00:01:31.666666666,61.906666666666666,60.25666666666666,198,160
9,https://miratrix.co.uk/black-hat-aso-malware/,5,263,1.9%,46.38,0 days 00:02:04.000000000,50.0,67.85499999999999,9,9
10,https://miratrix.co.uk/blog/,4,203,1.97%,41.95,0 days 00:00:44.666666666,59.31,77.92,63,60
11,https://miratrix.co.uk/tag/natwest/,4,129,3.1%,22.84,0 days 00:00:00.000000000,100.0,100.0,3,3
12,https://miratrix.co.uk/android-users-warned-sophisticated-malware/,3,323,0.93%,57.47,0 days 00:00:05.500000000,25.0,70.0,7,5
13,https://miratrix.co.uk/faster-fresher-phone-apps-flutter/,3,322,0.93%,29.38,0 days 00:00:00.000000000,100.0,100.0,2,2
14,https://miratrix.co.uk/miratrix-23-golden-square-london-w1f-9jp/23-golden-square-london-w1f-9jp/,3,227,1.32%,7.59,0 days 00:00:00.000000000,0.0,100.0,4,4
